code,Field title
27393,Area of S-parieto-occipital (left hemisphere)
27615,Area of S-parieto-occipital (right hemisphere)
27394,Area of S-pericallosal (left hemisphere)
27616,Area of S-pericallosal (right hemisphere)
27395,Area of S-postcentral (left hemisphere)
27617,Area of S-postcentral (right hemisphere)
27396,Area of S-precentral-inf-part (left hemisphere)
27618,Area of S-precentral-inf-part (right hemisphere)
27397,Area of S-precentral-sup-part (left hemisphere)
27619,Area of S-precentral-sup-part (right hemisphere)
27398,Area of S-suborbital (left hemisphere)
27620,Area of S-suborbital (right hemisphere)
27399,Area of S-subparietal (left hemisphere)
27621,Area of S-subparietal (right hemisphere)
27400,Area of S-temporal-inf (left hemisphere)
27622,Area of S-temporal-inf (right hemisphere)
27401,Area of S-temporal-sup (left hemisphere)
27623,Area of S-temporal-sup (right hemisphere)
27402,Area of S-temporal-transverse (left hemisphere)
27624,Area of S-temporal-transverse (right hemisphere)
27408,Mean thickness of G+S-cingul-Ant (left hemisphere)
27630,Mean thickness of G+S-cingul-Ant (right hemisphere)
27409,Mean thickness of G+S-cingul-Mid-Ant (left hemisphere)
27631,Mean thickness of G+S-cingul-Mid-Ant (right hemisphere)
27410,Mean thickness of G+S-cingul-Mid-Post (left hemisphere)
27632,Mean thickness of G+S-cingul-Mid-Post (right hemisphere)
27403,Mean thickness of G+S-frontomargin (left hemisphere)
27625,Mean thickness of G+S-frontomargin (right hemisphere)
27404,Mean thickness of G+S-occipital-inf (left hemisphere)
27626,Mean thickness of G+S-occipital-inf (right hemisphere)
27405,Mean thickness of G+S-paracentral (left hemisphere)
27627,Mean thickness of G+S-paracentral (right hemisphere)
27406,Mean thickness of G+S-subcentral (left hemisphere)
27628,Mean thickness of G+S-subcentral (right hemisphere)
27407,Mean thickness of G+S-transv-frontopol (left hemisphere)
27629,Mean thickness of G+S-transv-frontopol (right hemisphere)
27419,Mean thickness of G-Ins-lg+S-cent-ins (left hemisphere)
27641,Mean thickness of G-Ins-lg+S-cent-ins (right hemisphere)
27411,Mean thickness of G-cingul-Post-dorsal (left hemisphere)
27633,Mean thickness of G-cingul-Post-dorsal (right hemisphere)
27412,Mean thickness of G-cingul-Post-ventral (left hemisphere)
27634,Mean thickness of G-cingul-Post-ventral (right hemisphere)
27413,Mean thickness of G-cuneus (left hemisphere)
27635,Mean thickness of G-cuneus (right hemisphere)
27414,Mean thickness of G-front-inf-Opercular (left hemisphere)
27636,Mean thickness of G-front-inf-Opercular (right hemisphere)
27415,Mean thickness of G-front-inf-Orbital (left hemisphere)
27637,Mean thickness of G-front-inf-Orbital (right hemisphere)
27416,Mean thickness of G-front-inf-Triangul (left hemisphere)
27638,Mean thickness of G-front-inf-Triangul (right hemisphere)
27417,Mean thickness of G-front-middle (left hemisphere)
