IDP,AUC,Train accuracy,Test accuracy
dmri,0.561944273300541,0.7044967880085653,0.5504587155963303
dmriweighted,0.551083930092485,0.6855307433465891,0.5385321100917431
fast,0.5450725706263193,0.6965432854083817,0.5389908256880734
subcorticalvol,0.50027228714468,0.6748241052309575,0.5036697247706422
t1vols,0.5195937324296935,0.6355154481492811,0.5142201834862385
t2star,0.5517745378272917,0.6370449678800857,0.5325688073394496
t2weighted,0.5317288171543426,0.5981951667176506,0.5266055045871559
taskfmri,0.538605014460257,0.6110431324564087,0.5293577981651376
